image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img095_20201027_Kaizu_TCA422_900x900,77,76,0.013157894736842105,0.012987012987012988,0.0,0.9934640522875817
img098_20201027_Kaizu_TCA422_900x900,83,79,0.05063291139240506,0.04819277108433735,0.0,0.9753086419753086
img099_20201027_Kaizu_TCA422_900x900,77,74,0.04054054054054054,0.03896103896103896,0.0,0.9801324503311258
img100_20201027_Kaizu_TCA422_900x900,76,74,0.02702702702702703,0.02631578947368421,0.0,0.9866666666666667
img102_20201027_Kaizu_TCA422_900x900,80,78,0.02564102564102564,0.025,0.0,0.9873417721518988
img103_20201027_Kaizu_TCA422_900x900,76,75,0.013333333333333334,0.013157894736842105,0.0,0.9933774834437086
img104_20201027_Kaizu_TCA422_900x900,73,68,0.07352941176470588,0.0684931506849315,0.0,0.9645390070921985
img105_20201027_Kaizu_TCA422_900x900,74,70,0.05714285714285714,0.05405405405405406,0.0,0.9722222222222222
img106_20201027_Kaizu_TCA422_900x900,80,79,0.012658227848101266,0.0125,0.0,0.9937106918238994
img107_20201027_Kaizu_TCA422_900x900,67,66,0.015151515151515152,0.029850746268656716,0.015151515151515152,0.9774436090225563
